SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Employment status (official)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Employment status (official)","Employed","Unemployed","Discouraged work-seeker","Not economically active","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"10103005: Ward 5",12832.953065,573.819357,31.50191,7028.88358,2.192,8954.15438,29423.504292,
"10103006: Ward 6",3724.29908,199.751424,43.20373,2523.306891,0,3246.504939,9737.066064,
"10103007: Ward 7",8743.177366,1384.217118,164.10512,6504.926192,1.096,7989.405825,24786.927621,
"10104001: Ward 1",6382.943859,3020.629333,409.91327,3926.608321,6.576,5825.995911,19572.666694,
"10104002: Ward 2",5618.37775,3915.08112,258.46824,3032.950531,0,6543.826158,19368.703799,
"10104003: Ward 3",5403.788441,1018.007644,41.40941,4640.602763,0,4123.70648,15227.514738,
"10104004: Ward 4",6339.878464,2490.019057,122.81486,4506.994889,5.48,7331.324247,20796.511517,
"10104005: Ward 5",5873.889228,450.701645,56.02496,3359.642578,2.192,3867.787235,13610.237646,
"10104006: Ward 6",6322.857413,432.965586,58.01513,3414.193105,0,4992.916234,15220.947468,
"10104007: Ward 7",6701.049384,1038.240048,98.6025,4985.38725,0,6716.13893,19539.418112,
"10104008: Ward 8",6597.41507,366.102271,50.69855,3254.550415,3.288,4277.790702,14549.845008,
"10104009: Ward 9",3903.222747,2275.675336,403.92543,1889.301899,3.288,2985.030244,11460.443656,
"10104010: Ward 10",8739.409014,1419.57088,129.00629,6248.413846,4.384,7860.596542,24401.380572,
"10104011: Ward 11",6044.391804,649.204916,88.54838,3337.34286,0,4732.999643,14852.487603,
"10104012: Ward 12",6473.131433,1844.838728,123.15258,2957.8636,0,5364.663589,16763.64993,
"10104013: Ward 13",7326.784555,1539.470695,68.01502,4795.984951,25.208,7008.97976,20764.442981,
"10105001: Ward 1",7754.460499,458.844656,80.32103,7697.540708,3.288,6470.479345,22464.934238,
"10105002: Ward 2",6524.753075,1137.927025,180.48017,5253.321029,3.288,6702.759515,19802.528814,
"10105003: Ward 3",9124.216949,421.808133,63.47282,4686.663534,2.192,7535.043228,21833.396664,
"10105004: Ward 4",9151.372465,1071.399109,216.74676,6001.688199,7.672,7875.562371,24324.440904,
"10105005: Ward 5",7564.435048,845.673257,43.32475,4604.305569,2.192,6218.435159,19278.365783,
"10105006: Ward 6",6077.886443,878.825993,50.52864,3612.344309,0,6058.6469,16678.232285,
"10105007: Ward 7",10650.501794,1261.802516,120.43376,7370.778341,8.768,8578.423383,27990.707794,
"10105008: Ward 8",7218.138898,754.343698,98.35705,5049.024967,3.288,6751.573659,19874.726272,
"10105009: Ward 9",4304.866219,2100.910313,148.42561,3257.006624,1.096,4124.542272,13936.847038,
"10105010: Ward 10",8554.230043,622.131891,69.34328,6075.093418,1.096,6899.522866,22221.417498,
"10105011: Ward 11",6402.962604,1397.923919,80.43571,4169.28733,3.288,6481.783264,18535.680827,
"10105012: Ward 12",10413.613399,489.192849,45.51932,5378.199619,5.48,7904.662323,24236.66751,
"10202001: Ward 1",4365.568275,2811.666844,271.6736,3039.963509,5.48,4518.924503,15013.276731,
"10202002: Ward 2",8747.823376,666.758915,18.93769,3879.698219,5.48,6719.917899,20038.616099,
"10202003: Ward 3",9670.257454,1176.538773,68.20698,5896.192129,1.096,9235.797024,26048.08836,
"10202004: Ward 4",6191.737211,1026.097993,29.84009,4689.069,3.288,6121.476741,18061.509035,
"10202005: Ward 5",11997.817255,591.086795,42.67393,4553.758535,0,8509.724145,25695.06066,
"10202006: Ward 6",8402.736043,1772.726926,182.50112,6767.192015,0,9377.017092,26502.173196,
"10202007: Ward 7",9698.889754,1762.054586,182.37835,8202.703969,1.096,11910.780764,31757.903423,
"10202008: Ward 8",14896.340622,237.649561,32.71922,2444.504698,3.288,5542.625531,23157.127632,
"10202009: Ward 9",13631.599029,209.643413,29.65058,2432.961571,12.056,5347.760479,21663.671072,
"10202010: Ward 10",10815.118996,274.477488,39.53826,3032.260109,0,6505.197788,20666.592641,
"10202011: Ward 11",12795.812577,1548.218815,108.99484,6254.819718,10.96,9465.178172,30183.984122,
"10202012: Ward 12",10223.33713,997.193394,60.1756,4310.4382,1.096,7038.462299,22630.702623,
"10203001: Ward 1",11163.277264,723.441394,67.3631,4163.154573,0,7895.380579,24012.61691,
"10203002: Ward 2",5882.481543,234.728066,20.62473,3650.048793,4.384,4812.369233,14604.636365,
"10203003: Ward 3",12680.453969,476.490265,45.47896,4485.365197,2.192,8527.093125,26217.073516,
"10203004: Ward 4",7945.155267,262.71699,13.06004,5034.324538,0,6012.103594,19267.360429,
"10203005: Ward 5",4374.846252,2412.916699,468.53888,4040.555078,3.288,5613.508035,16913.652944,
"10203006: Ward 6",4505.361838,3473.429914,496.21106,3598.640125,0,4948.857001,17022.499938,
"10203007: Ward 7",7207.999997,1633.023696,182.45045,5245.55607,5.48,7013.263513,21287.773726,
"10203008: Ward 8",2179.47926,1884.403147,47.00279,2386.455336,1.096,2914.010093,9412.446626,
"10203009: Ward 9",4021.392646,3177.887131,206.7808,4464.557494,5.48,5788.251415,17664.349486,
"10203010: Ward 10",6724.617291,1574.328714,278.42664,5664.163546,6.576,7435.278994,21683.391185,
"10203011: Ward 11",9329.104911,2060.240283,225.97324,7451.2331,27.4,8709.37547,27803.327004,
"10203012: Ward 12",4159.175357,3783.361411,46.62302,5690.307646,2.192,6484.683852,20166.343286,
"10203013: Ward 13",6103.021837,2094.564114,374.88125,3962.602313,0,6023.007978,18558.077492,
"10203014: Ward 14",6154.230894,2161.103681,592.33467,4428.127608,0,7011.358415,20347.155268,
"10203015: Ward 15",7814.571424,330.689792,34.71874,4713.99138,9.864,5399.85242,18303.687756,
"10203016: Ward 16",3704.064595,3882.296208,474.92318,2367.412151,0,4819.750963,15248.447097,
"10203017: Ward 17",12015.250323,1066.661781,36.00989,4297.131171,1.096,7776.045448,25192.194613,
"10203018: Ward 18",8206.350677,1110.330797,47.06988,5487.268519,3.288,6109.971554,20964.279427,
"10203019: Ward 19",6964.38653,392.863288,33.3201,4023.213034,1.096,4583.42408,15998.303032,
"10203020: Ward 20",4074.166683,1429.073149,184.21744,3729.13958,23.016,4610.220813,14049.833665,
"10203021: Ward 21",7592.20729,3106.678402,475.58085,6888.815386,7.672,9161.02491,27231.978838,
"10203022: Ward 22",9685.731058,1188.67791,112.11129,6926.980433,10.96,7527.466634,25451.927325,
"10203023: Ward 23",7331.343957,1095.539422,85.61984,4776.075093,0,5551.805222,18840.383534,
"10203024: Ward 24",5374.952701,1807.280527,448.67088,4798.477296,3.288,6139.272101,18571.941505,
"10203025: Ward 25",8357.144183,2267.758789,173.12104,6943.681485,0,8316.491964,26058.197461,
"10203026: Ward 26",7639.912238,1902.006989,145.57306,6637.263196,7.672,7386.632321,23719.059804,
"10203027: Ward 27",3999.421812,1918.905721,56.62716,4819.19013,2.192,5187.30651,15983.643333,
"10203028: Ward 28",8087.596116,492.632759,52.71661,6821.198342,0,7670.8213,23124.965127,
"10203029: Ward 29",6404.38847,922.878646,52.42881,4710.969005,15.344,6365.112617,18471.121548,
"10203030: Ward 30",7887.640531,1025.470249,138.76112,5515.810149,0,8466.27361,23033.955659,
"10203031: Ward 31",10342.726505,768.249088,87.85411,6153.756098,7.672,9448.6274,26808.885201,
"10204001: Ward 1",9880.0915,1540.982661,343.82112,5411.663163,6.576,8628.202428,25811.336872,
"10204002: Ward 2",6000.098012,2082.7763,219.84781,3298.18606,2.192,5469.075651,17072.175833,
"10204003: Ward 3",8856.642927,1287.039253,92.23926,5387.893132,0,7261.662495,22885.477067,
