SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Population group"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Population group","Black African","Coloured","Indian or Asian","White","Other","Unspecified","Total",
"South Africa by 2011 Electoral Wards",
"10203002: Ward 2",355.504701,1014.506724,55.269929,13094.132661,35.27625,49.9461,14604.636365,
"10203003: Ward 3",3757.070664,18414.713353,31.746434,3954.947395,37.32047,21.2752,26217.073516,
"10203004: Ward 4",1103.618853,1453.262406,93.64907,16364.08595,79.95125,172.7929,19267.360429,
"10203005: Ward 5",7920.4947,8816.968516,18.305318,4.95586,151.84125,1.0873,16913.652944,
"10203006: Ward 6",16669.487684,269.696845,2.22233,19.310649,23.00625,38.77618,17022.499938,
"10203007: Ward 7",670.678906,20285.843134,54.072292,57.938044,47.54625,171.6951,21287.773726,
"10203008: Ward 8",8084.398185,1233.513562,1.21178,8.304519,9.2025,75.81608,9412.446626,
"10203009: Ward 9",17357.064689,191.518298,13.280319,2.32628,42.945,57.2149,17664.349486,
"10203010: Ward 10",804.316452,20713.206965,39.481702,59.197016,7.60125,59.5878,21683.391185,
"10203011: Ward 11",5449.722499,21633.752384,158.838311,294.04226,44.47875,222.4928,27803.327004,
"10203012: Ward 12",19850.919086,136.04369,8.80868,11.28358,121.16625,38.122,20166.343286,
"10203013: Ward 13",4461.664308,13854.141807,18.540044,15.499733,107.3625,100.8691,18558.077492,
"10203014: Ward 14",4889.354042,15268.733813,39.964164,25.597599,118.09875,5.4069,20347.155268,
"10203015: Ward 15",465.54447,2763.930761,65.115484,14869.195441,102.2275,37.6741,18303.687756,
"10203016: Ward 16",15126.77788,61.149967,0,0,50.61375,9.9055,15248.447097,
"10203017: Ward 17",1933.153546,13880.450505,32.953132,9305.84387,14.61546,25.1781,25192.194613,
"10203018: Ward 18",2125.206491,13414.82229,75.621965,5204.890731,65.74875,77.9892,20964.279427,
"10203019: Ward 19",863.028945,2763.628288,90.434338,12109.191261,109.2275,62.7927,15998.303032,
"10203020: Ward 20",329.440466,13540.364696,20.520697,16.874156,62.88375,79.7499,14049.833665,
"10203021: Ward 21",740.39556,26091.778621,82.169781,24.737526,150.68125,142.2161,27231.978838,
"10203022: Ward 22",1437.775375,21290.25885,312.959393,1447.059357,266.27125,697.6031,25451.927325,
"10203023: Ward 23",769.093618,15409.326413,293.317782,2077.209871,185.51625,105.9196,18840.383534,
"10203024: Ward 24",430.40568,17684.981655,83.421379,71.027491,18.405,283.7003,18571.941505,
"10203025: Ward 25",1308.220827,23544.921542,63.040076,1006.123316,70.5525,65.3392,26058.197461,
"10203026: Ward 26",536.030961,22688.861414,85.296501,44.533578,118.09875,246.2386,23719.059804,
"10203027: Ward 27",648.202445,15105.411574,13.187034,14.49338,46.0125,156.3364,15983.643333,
"10203028: Ward 28",2961.902644,16838.332438,62.566725,3135.13045,88.62637,38.4065,23124.965127,
"10203029: Ward 29",479.539958,12934.434455,115.394063,4889.357972,30.675,21.7201,18471.121548,
"10203030: Ward 30",593.477868,21974.187164,30.984426,326.997451,44.47875,63.83,23033.955659,
"10203031: Ward 31",1822.115228,22911.455095,37.961502,1936.818856,6.91682,93.6177,26808.885201,
"10204001: Ward 1",3829.449155,17745.380306,64.532746,3925.123015,126.18205,120.6696,25811.336872,
"10204002: Ward 2",8749.441688,7984.430978,36.743557,150.14701,82.8225,68.5901,17072.175833,
"10204003: Ward 3",3238.720705,17673.66882,24.373933,1705.632159,38.76455,204.3169,22885.477067,
"10204004: Ward 4",1168.673086,19551.114614,46.49499,813.201232,41.83205,78.5872,21699.903172,
"10204005: Ward 5",1054.895271,15143.293805,53.739994,1093.370003,14.58557,316.4868,17676.371443,
"10204006: Ward 6",861.071698,15551.355835,132.566404,577.315208,26.46466,299.6953,17448.469105,
"10204007: Ward 7",409.638007,349.825814,30.766169,8510.92057,46.47875,38.8459,9386.47521,
"10204008: Ward 8",1541.814641,1264.27361,67.0559,12685.04915,62.00625,20.3013,15640.500851,
"10204009: Ward 9",197.321094,318.517773,19.809914,3346.881554,17.2025,5.4942,3905.227035,
"10204010: Ward 10",1039.272419,4703.574197,118.822891,8394.459566,86.6875,29.8144,14372.630973,
"10204011: Ward 11",957.888278,5437.456194,75.380579,8242.457356,95.13807,7.9985,14816.318977,
"10204012: Ward 12",7784.04923,679.4674,7.43379,609.63028,15.3375,5.3976,9101.3158,
"10204013: Ward 13",6408.330039,2647.266456,8.696994,172.594367,7.66875,37.8657,9282.422306,
"10204014: Ward 14",14465.121753,464.38461,3.31833,9.347254,47.54625,26.7356,15016.453797,
