OAXXCD,E.01,E.11,E.21
X0000068E,0.23790228833707125,0.49506189636066866,0.6932131324005875
X0000069E,0.2106689157835594,0.5857473338990719,0.7773299002775591
X0000070E,0.20511958510081243,0.5411293633438162,0.6789875651835209
X0000071E,0.14833315156370108,0.45032213895605794,0.6311760489808181
X0000072E,0.10514837850349462,0.6367801183475374,0.7256860847203995
X0000073E,0.2254787715211981,0.46505689678708795,0.7042405970958538
X0000074E,0.14949141514299474,0.5420927150146814,0.7114284945526161
X0000075E,0.08062110590305992,0.459847259007391,0.567786041487702
X0000076E,0.16646917369061645,0.4945444578379574,0.6865080559604402
X0000077E,0.07812924949763893,0.4986927955013171,0.6805393744351749
X0000078E,0.18276297509232747,0.5024362730528518,0.6864392644081222
X0000079E,0.19794451496174156,0.5156317545778648,0.7121819673926855
X0000080E,0.16244776632046876,0.5339108741180112,0.6208469585349475
X0000081E,0.13389883645990402,0.48687030956061295,0.7302903909630213
X0000082E,0.1566493988499431,0.545529272289989,0.7269539109214389
X0000083E,0.16266611182303709,0.5974292350953555,0.7506236738158125
X0000084E,0.13571464497003147,0.42651699744761573,0.6481887391119051
X0000085E,0.13780273490623002,0.6849358748752293,0.8011762695162253
X0000086E,0.1389422483694741,0.5015963588389993,0.6538729101944736
X0000087E,0.24915134329049513,0.5502082816264569,0.7485248658149279
X0000088E,0.15326037352160726,0.4568435691184716,0.6378622129124291
X0000089E,0.10837365435745855,0.4560045963066459,0.6250464953888879
X0000090E,0.18314031681624607,0.4722917013990343,0.6859402004609932
X0000091E,0.27439870366442837,0.43308585840138863,0.566762220780581
X0000092E,0.1643506261022559,0.49166879756355564,0.7261230707124358
X0000093E,0.40281165276387804,0.739029957901853,0.8327820691937418
X0000094E,0.32807586798364713,0.7233413700798402,0.834564369893822
X0000095E,0.5362994231522955,0.6740031241166325,0.7781541355224683
X0000096E,0.35553949815672886,0.645644366896991,0.756416667548798
X0000097E,0.6077126224871613,0.8912661552199664,0.8367312396747788
X0000098E,0.54271341501752135,0.7818068878145652,0.8495128200861454
X0000099E,0.2842263753851999,0.6153792724281258,0.7261349494587871
X0000100E,0.29300246022535226,0.6886430924640788,0.8157134018369668
X0000101E,0.3671313895019498,0.7513142516411491,0.8565155983247174
X0000102E,0.2348129271453238,0.5606386426970519,0.7796363290980853
X0000103E,0.3559757149925948,0.6570070392604473,0.7836883016187632
X0000104E,0.5288272783083481,0.7138312602864775,0.8113595067653805
X0000105E,0.25434927207567715,0.5180096296373157,0.742672794390635
X0000106E,0.2542615836468415,0.5018899502115232,0.7747251408909679
X0000107E,0.2632244592308789,0.6289918632581968,0.7631109874334385
X0000108E,0.4155862790799596,0.6545800561164802,0.8022155567820283
X0000109E,0.5241010415415684,0.5898148039713312,0.7427237321959277
X0000110E,0.421781192328933,0.6882270521245206,0.7401572505969116
X0000111E,0.3580569276519715,0.6584077469545971,0.8023158187986902
X0000112E,0.30950587878497215,0.5338774400924176,0.7752823793464473
X0000113E,0.4312787118250802,0.7867159075833905,0.7940139226942972
X0000114E,0.23200612019703523,0.6414744124075572,0.8178789371468559
X0000115E,0.35985620549738095,0.6093961653760768,0.791752593910412
X0000116E,0.2770425122922636,0.5904191498709505,0.7184197611054242
X0000117E,0.3257892670664108,0.6458691616961141,0.8314849581888637
X0000118E,0.41494318241711675,0.7533726965082079,0.821194095988344
X0000119E,0.7082588678382669,0.7673380265965797,0.8550651841001232
X0000120E,0.20945746927720518,0.5669215245820223,0.6871030098604306
X0000121E,0.22533329578859518,0.5910354870673185,0.7438067072223931
X0000122E,0.18419762389213912,0.6319635619573706,0.744563909674158
X0000123E,0.10269633260592556,0.4558043961854838,0.6533020750585113
X0000124E,0.19228586976656345,0.5278111783071978,0.6855143757127553
X0000125E,0.1709439177598151,0.5454329072913675,0.7574860481595399
X0000126E,0.1812491864539783,0.542240620166079,0.7705656162610105
X0000127E,0.2344152804941902,0.5866531604673288,0.7715295194733374
X0000128E,0.47094828506325687,0.7486001933181354,0.8575191412197349
X0000129E,0.4117401585911236,0.6035903198775874,0.7707457708265891
X0000130E,0.16886197234000755,0.5570656942583309,0.724652876384097
X0000131E,0.18458820048508431,0.5424462836047252,0.6913552860575602
